,Gender,Discipline,Career Stage,EPAO
1,f,"geochemistry, geology",assistant professor,Earth
2,f,planetary science,assistant professor,Planet
3,f,planetary science,assistant professor,Planet
4,f,planetary science,assistant professor,Planet
5,m,planetary science,assistant professor,Planet
6,m,planetary science,assistant professor,Planet
7,m,geophysics,assistant professor,Earth
8,m,planetary science,assistant professor,Planet
9,f,planetary science,assistant professor,Planet
10,m,planetary science,assistant professor,Planet
11,f,geobiology,assistant professor,Earth
12,m,planetary science,assistant professor,Planet
13,m,planetary science,associate professor,Planet
14,f,"geophysics, geology",associate professor,Earth
15,m,planetary science,associate professor,Planet
16,f,planetary science,associate professor,Planet
17,m,"geology, geochemistry",associate professor,Earth
18,f,planetary science,associate professor,Planet
19,f,ecology,associate professor,
20,f,"geophysics, planetary science",associate professor,Planet
21,f,planetary science,associate professor,Planet
22,m,planetary science,associate professor,Planet
23,m,"biogeochemistry, geochemistry",professor,Earth
24,m,"geophysics, geology",professor,Earth
25,m,ecology,professor,
26,m,planetary science,professor,Planet
27,m,planetary science,professor,Planet
28,m,"geochemistry, geology",professor,Earth
29,m,geochemistry,professor,Earth
30,m,"geology, planetary science",professor,Planet
31,m,planetary science,professor,Planet
32,f,planetary science,professor,Planet
33,m,"planetary science, geobiology, paleontology, geology",professor,Planet
34,m,geophysics,professor,Earth
35,f,"biogeochemistry, geochemistry, geobiology",professor,Earth
36,m,geochemistry,professor,Earth
37,m,atmospheric chemistry,professor,Atmosphere
38,m,"planetary science, geochemistry ",professor,Planet
39,m,"planetary science, geology",professor,Planet
40,m,planetary science,professor,Planet
41,m,geology,professor,Earth
42,m,planetary science,professor,Planet
43,m,planetary science,professor,Planet
44,m,"hydrology, geochemistry, chemical oceanography",professor,Ocean
45,m,education,professor,
46,m,geology,professor,Earth
47,m,biogeochemistry,professor,Earth
48,m,planetary science,professor,Planet
49,m,planetary science,professor,Planet
50,m,hydrology,professor,
51,f,"planetary science, geochemistry ",professor,Planet
52,m,geomorphology,professor,Earth
53,m,geomorphology,professor,Earth
54,m,planetary science,professor,Planet
55,f,planetary science,professor,Planet
56,m,planetary science,professor,Planet
57,m,geophysics,professor,Earth
58,f,"biogeochemistry, chemical oceanography, biological oceanography",assistant professor,Ocean
59,f,geophysics,assistant professor,Earth
60,m,"biogeochemistry, geochemistry, geobiology",assistant professor,Earth
61,m,"atmospheric dynamics, climate dynamics",associate professor,Atmosphere
62,m,"paleoclimate, geology",associate professor,Earth
63,m,geophysics,professor,Earth
64,m,geology,professor,Earth
65,f,"geochemistry, geobiology",professor,Earth
66,m,"biogeochemistry, chemical oceanography",professor,Ocean
67,f,atmospheric chemistry,professor,Atmosphere
68,m,planetary science,professor,Planet
69,m,geophysics,professor,Earth
70,m,planetary science,professor,Planet
71,m,atmospheric chemistry,professor,Atmosphere
72,m,"glaciology, geophysics",professor,Earth
73,m,"geomorphology, ecology",professor,Earth
74,m,geophysics,professor,Earth
75,f,"atmospheric dynamics, biogeochemistry",professor,Atmosphere
76,m,"geophysics, geomorphology",professor,Earth
77,m,geophysics,professor,Earth
78,f,geophysics,professor,Earth
79,m,atmospheric dynamics,professor,Atmosphere
80,m,geochemistry,professor,Earth
81,m,"hydrology, geology",professor,Earth
82,m,geology,professor,Earth
83,f,biogeochemistry,professor,Earth
84,f,"geology, geochemistry",professor,Earth
85,m,geophysics,assistant professor,Earth
86,m,geology,associate professor,Earth
87,f,geophysics,associate professor,Earth
88,m,geochemistry,associate professor,Earth
89,m,geophysics,associate professor,Earth
90,m,geophysics,associate professor,Earth
91,f,"climate dynamics, biogeochemistry",associate professor,Earth
92,m,geology,professor,Earth
