,Gender,Career Stage,University,dept_head_gender,private_public
1,f,assistant professor,arizona state,f,public
2,f,assistant professor,arizona state,f,public
3,f,assistant professor,arizona state,f,public
4,f,assistant professor,arizona state,f,public
5,m,assistant professor,arizona state,f,public
6,m,assistant professor,arizona state,f,public
7,m,assistant professor,arizona state,f,public
8,m,assistant professor,arizona state,f,public
9,f,assistant professor,arizona state,f,public
10,m,assistant professor,arizona state,f,public
11,f,assistant professor,arizona state,f,public
12,m,assistant professor,arizona state,f,public
13,m,associate professor,arizona state,f,public
14,f,associate professor,arizona state,f,public
15,m,associate professor,arizona state,f,public
16,f,associate professor,arizona state,f,public
17,m,associate professor,arizona state,f,public
18,f,associate professor,arizona state,f,public
19,f,associate professor,arizona state,f,public
20,f,associate professor,arizona state,f,public
21,f,associate professor,arizona state,f,public
22,m,associate professor,arizona state,f,public
23,m,professor,arizona state,f,public
24,m,professor,arizona state,f,public
25,m,professor,arizona state,f,public
26,m,professor,arizona state,f,public
27,m,professor,arizona state,f,public
28,m,professor,arizona state,f,public
29,m,professor,arizona state,f,public
30,m,professor,arizona state,f,public
31,m,professor,arizona state,f,public
32,f,professor,arizona state,f,public
33,m,professor,arizona state,f,public
34,m,professor,arizona state,f,public
35,f,professor,arizona state,f,public
36,m,professor,arizona state,f,public
37,m,professor,arizona state,f,public
38,m,professor,arizona state,f,public
39,m,professor,arizona state,f,public
40,m,professor,arizona state,f,public
41,m,professor,arizona state,f,public
42,m,professor,arizona state,f,public
43,m,professor,arizona state,f,public
44,m,professor,arizona state,f,public
45,m,professor,arizona state,f,public
46,m,professor,arizona state,f,public
47,m,professor,arizona state,f,public
48,m,professor,arizona state,f,public
49,m,professor,arizona state,f,public
50,m,professor,arizona state,f,public
51,f,professor,arizona state,f,public
52,m,professor,arizona state,f,public
53,m,professor,arizona state,f,public
54,m,professor,arizona state,f,public
55,f,professor,berkeley,m,public
56,m,professor,berkeley,m,public
57,m,professor,berkeley,m,public
58,f,assistant professor,berkeley,m,public
